f,mag,phase
1.0,47.73730966554303,-91.69150840506981
1.1513953993264472,46.51158752412108,-91.94741076409336
1.3257113655901094,45.28546453265895,-92.2419586915329
1.5264179671752334,44.0588105372316,-92.580952067552
1.7575106248547916,42.831453299008686,-92.97104217888916
2.023589647725157,41.603165018529126,-93.41984669740779
2.329951810515371,40.37364464467564,-93.93607485812942
2.6826957952797255,39.142494724868236,-94.52966070824688
3.088843596477481,37.90919124313531,-95.21190016507333
3.5564803062231274,36.67304455020366,-95.99558433174937
4.0949150623804265,35.43314915075907,-96.89511657873494
4.714866363457394,34.18831985486732,-97.92659367577298
5.428675439323858,32.93701176979432,-99.1078210307144
6.2505519252739745,31.67722206103754,-100.4582181997625
7.196856730011519,30.406372761700318,-101.99855306069759
8.286427728546846,29.121176773039803,-103.75042237477551
9.540954763499942,27.817494385524746,-105.73537644479507
10.985411419875582,26.49019601141426,-107.97357430681804
12.648552168552955,25.133058800037983,-110.48186829276061
14.56348477501244,23.738739502084364,-113.27127552092462
16.76832936811008,22.2988796563139,-116.34392521587185
19.306977288832492,20.804403974800767,-119.68979024122571
22.22996482526195,19.24605687573463,-123.28379565140419
25.59547922699535,17.61517442129099,-127.08415243403724
29.470517025518088,15.904609677984459,-131.0328223265089
33.93221771895329,14.109641717440283,-135.05870620007173
39.06939937054616,12.22864751886743,-139.0834329432212
44.98432668969448,10.2633460054287,-143.0287428479398
51.79474679231212,8.218539796348896,-146.82384580851073
59.636233165946415,6.10143334571036,-150.41114471080053
68.66488450043003,3.9207204359596872,-153.749342144725
79.060432109077,1.6856612696692017,-156.81383234261693
91.02981779915216,-0.5946833423478931,-159.59498604654294
104.81131341546849,-2.9119813136715793,-162.09523708299605
120.67926406393286,-5.258921271490643,-164.3258132417625
138.94954943731372,-7.629313023661808,-166.30369575033637
159.9858719606057,-10.018057469898112,-168.04910817576715
184.2069969326716,-12.421041708222795,-169.58361860867316
212.095088792019,-14.835001262773627,-170.9288100764446
244.20530945486493,-17.257376708071664,-172.1054171347111
281.176869797423,-19.68618008671753,-173.13281515932863
323.7457542817642,-22.11987825803992,-174.0287605583286
372.75937203149374,-24.557295208761794,-174.8093002469757
429.1934260128777,-26.997532547692167,-175.4887893442684
494.1713361323832,-29.43990608988401,-176.0799737149317
568.9866029018292,-31.883896002136787,-176.59410775970926
655.1285568595508,-34.329108022055145,-177.0410879874795
754.3120063354613,-36.775243525036664,-177.42959004972698
868.5113737513518,-39.2220765534895,-177.76720180239332
999.9999999999998,-41.66943626451307,-178.06054820933292
